,attack,defend
Liechtenstein,-0.3164334003312821,0.11799530040077917
Lithuania,0.7205094221901482,-0.5344367413657767
Luxembourg,0.8475115017455185,-0.72255915236896
Macau,-1.1049156168579617,1.2406806354073643
Madagascar,1.2750706901715978,-0.3012071085098409
Malawi,0.7367140926885725,-0.5497449261691278
Malaysia,0.8034882595972938,-0.08828507385666781
Maldives,-0.05962154170544013,0.7254913846962638
Mali,1.4046889035944807,-1.2441937479199885
Malta,0.8606703766879337,-0.3485043875253669
Martinique,0.580070811297643,-0.12634131089608414
Mauritania,0.7958729901805176,-0.7132666365857407
Mauritius,0.33343034714908015,-0.12082332196415753
Mexico,1.7476068623296925,-1.2315976359077279
Moldova,0.89369315941742,-0.24094786818535588
Mongolia,-0.5468712561072832,0.6696912783347903
Montenegro,1.2474546520391372,-0.5931849874252946
Montserrat,0.1816576117691941,0.48860325097859475
Morocco,1.7783675211764527,-1.7329764493412836
Mozambique,1.1577110833263975,-0.365068027416314
Myanmar,0.34962818630603965,0.6226045915285793
Namibia,0.7493800623767113,-0.47722934261074884
Nepal,-0.13367815151221663,0.25557048626403606
Netherlands,2.2025933297173363,-1.3127076536757623
New Caledonia,0.09545618279692553,0.3840087643659187
New Zealand,1.0237790436670844,-0.8112142941985869
Nicaragua,0.6442458779941211,-0.2810639442036248
Niger,1.2111239387415218,-0.4336884215136484
Nigeria,1.7161869236008749,-0.9684014678038386
North Korea,1.0940467105489091,-0.39895626001502743
North Macedonia,1.2586018747420618,-0.7706335556172571
Northern Cyprus,0.7139167102955549,0.6203292180675408
Northern Ireland,1.3664636491829174,-1.0107003429626205
Norway,2.091855976907427,-1.2314707845757502
Oman,0.9724720479632717,-0.7222881553212471
Orkney,-0.6030938246688976,1.3112402471901385
Padania,0.16357833703337765,-0.07253585978959891
Pakistan,-0.17805004892350362,0.4875294430924798
Palestine,0.9183796114466982,-0.6674228579160969
Panama,1.447390897508531,-0.6420731737033153
Panjab,-0.07318031107565968,0.8917020622919273
Papua New Guinea,-0.1818112904130377,1.0029379965460266
Paraguay,1.600751237675288,-1.2739007962718711
Peru,1.3913857290679428,-1.1583549246502014
Philippines,0.63875877308174,0.17105722450872304
Poland,1.7503406125134857,-0.9551292175606341
Portugal,2.2341709167796,-1.463918234185693
Puerto Rico,0.5090821920912095,0.22364205722171462
Qatar,1.342307960975152,-0.43958932715602766
Republic of Ireland,1.392807949871283,-1.1390924328242815
Romania,1.528918641997068,-0.9891168268301974
Russia,1.6496410271450923,-1.2871423367717485
Rwanda,0.8011321802005902,-0.860483877329475
Saint Kitts and Nevis,0.31384933599623654,0.6736206034681129
Saint Lucia,0.17485463441191637,0.6550448128087574
Saint Martin,0.44996356875403803,0.6913535878908796
Saint Vincent and the Grenadines,0.6143647611478624,0.5382999065740144
Samoa,-0.945355146969289,1.6936472583249609
San Marino,-0.11719359236705781,0.3022478583631056
Saudi Arabia,1.251742639147328,-0.8852230267245068
Scotland,1.762432620084279,-1.0318747964234554
Senegal,1.8103704457171956,-1.3019558442320478
Serbia,1.673701910729014,-0.9924682824755973
Seychelles,-0.2482743612338793,0.6501510889763228
Shetland,-0.06620759433946594,1.468005007789687
Sierra Leone,1.000742528711515,-0.35228025242486044
Singapore,0.4988582723425675,0.3110822725726925
Sint Maarten,0.3331424237584076,0.8862259582266748
Slovakia,1.5322028560114551,-0.9487185053187575
Slovenia,1.39258006831008,-1.1783989466249023
Solomon Islands,-0.032316130841493006,1.0320352276983682
Somalia,0.18491023246659422,-0.1419798976528998
South Africa,1.3104803320696832,-0.88815674302718
South Korea,1.7141408314288007,-1.0183389129929072
South Sudan,0.44468043597327145,-0.13195039013653734
Spain,2.375718889474725,-1.5857308345573173
Sri Lanka,-0.3609620282578765,0.3863830454590819
Sudan,0.7409940151773227,-0.5980117704642478
Suriname,0.9028043116461951,-0.4535058216249964
Sweden,1.9305785115755878,-0.8990861773541581
Switzerland,2.05099080932775,-1.2353802168575974
Syria,1.1026760922697643,-0.49529680130035897
Székely Land,0.1426720370203902,1.0462443673874247
São Tomé and Príncipe,0.5406613375146371,0.40062240953997175
Tahiti,-0.2881666390505908,0.7117127361383204
Taiwan,0.48510610121680586,0.644877728168268
Tajikistan,0.7647917504907221,-0.3238768078605364
Tamil Eelam,-0.7170760828565713,2.1055667832687592
Tanzania,0.7535674187996549,-0.6945610031070468
Thailand,0.9885974980794604,-0.27571390228417203
Timor-Leste,-0.2409592527952443,1.0106015724070123
Togo,1.1792346655243875,-0.5950029492735225
Tonga,-1.1982730183043078,2.541562298277993
Trinidad and Tobago,0.8528796825844562,-0.11068801627657503
Tunisia,1.4432036746182468,-1.1232322830059933
Turkey,1.9631919370922293,-0.999392600498776
Turkmenistan,0.5792753948480579,-0.04610995868328859
Turks and Caicos Islands,-0.6141660464834274,1.521221609658785
Tuvalu,-1.0891103376259677,2.3645066790293923
Uganda,1.0602819061049669,-0.5427557381757552
Ukraine,1.8103844519243197,-0.9777580604602909
United Arab Emirates,1.3328325495588782,-0.6905183300304077
United States,1.7522047474240061,-0.9463664625085396
United States Virgin Islands,-0.7907133622414031,1.2704780936222493
Uruguay,1.7572567395207421,-1.5544130859806315
Uzbekistan,1.3987271621094308,-1.0850848948112741
Vanuatu,-0.11567086579635454,1.0196041427347908
Venezuela,1.6728821553443884,-1.007393545231671
Vietnam,0.8949845198893132,-0.3059000937138511
Wales,1.5112075095300872,-1.0022918129799727
Western Armenia,0.38853574767270366,0.6474755764865371
Western Isles,-1.9265161673915798,1.3028211265968432
Yemen,0.8803579121943608,0.1152789451990022
Ynys Môn,-0.31623520171534103,0.6054649781461896
Zambia,1.277118080578592,-0.47589207111439197
Zimbabwe,1.0768907833243038,-0.5965443786179581
Abkhazia,0.0,0.0
